remark,CSV-Import-Export,,,,,
COMMENT,,IV3:I,Tool 15 decimal point position,,IV3:I.DATA[181],
COMMENT,,IV3:I,"Tool 15 pitch present value MAX, color average H (hue)",,IV3:I.DATA[182],
COMMENT,,IV3:I,"Tool 15 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[183],
COMMENT,,IV3:I,"Tool 15 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[184],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[185],
COMMENT,,IV3:I,Tool 16 matching rate,,IV3:I.DATA[186],
COMMENT,,IV3:I,Tool 16 matching rate MAX,,IV3:I.DATA[187],
COMMENT,,IV3:I,Tool 16 matching rate MIN,,IV3:I.DATA[188],
COMMENT,,IV3:I,Tool 16 lower threshold,,IV3:I.DATA[189],
COMMENT,,IV3:I,Tool 16 upper threshold,,IV3:I.DATA[190],
COMMENT,,IV3:I,Tool 16 decimal point position,,IV3:I.DATA[191],
COMMENT,,IV3:I,"Tool 16 pitch present value MAX, color average H (hue)",,IV3:I.DATA[192],
COMMENT,,IV3:I,"Tool 16 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[193],
COMMENT,,IV3:I,"Tool 16 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[194],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[195],
COMMENT,,IV3:I,master number/total status product type,,IV3:I.DATA[196],
COMMENT,,IV3:I,Tool 17,,IV3:I.DATA[197].0,
COMMENT,,IV3:I,Tool 18,,IV3:I.DATA[197].1,
COMMENT,,IV3:I,Tool 19,,IV3:I.DATA[197].2,
COMMENT,,IV3:I,Tool 20,,IV3:I.DATA[197].3,
COMMENT,,IV3:I,Tool 21,,IV3:I.DATA[197].4,
COMMENT,,IV3:I,Tool 22,,IV3:I.DATA[197].5,
COMMENT,,IV3:I,Tool 23,,IV3:I.DATA[197].6,
COMMENT,,IV3:I,Tool 24,,IV3:I.DATA[197].7,
COMMENT,,IV3:I,Tool 25,,IV3:I.DATA[197].8,
COMMENT,,IV3:I,Tool 26,,IV3:I.DATA[197].9,
COMMENT,,IV3:I,Tool 27,,IV3:I.DATA[197].10,
COMMENT,,IV3:I,Tool 28,,IV3:I.DATA[197].11,
COMMENT,,IV3:I,Tool 29,,IV3:I.DATA[197].12,
COMMENT,,IV3:I,Tool 30,,IV3:I.DATA[197].13,
COMMENT,,IV3:I,Tool 31,,IV3:I.DATA[197].14,
COMMENT,,IV3:I,Tool 32,,IV3:I.DATA[197].15,
COMMENT,,IV3:I,Tool 33,,IV3:I.DATA[198].0,
COMMENT,,IV3:I,Tool 34,,IV3:I.DATA[198].1,
COMMENT,,IV3:I,Tool 35,,IV3:I.DATA[198].2,
COMMENT,,IV3:I,Tool 36,,IV3:I.DATA[198].3,
COMMENT,,IV3:I,Tool 37,,IV3:I.DATA[198].4,
COMMENT,,IV3:I,Tool 38,,IV3:I.DATA[198].5,
COMMENT,,IV3:I,Tool 39,,IV3:I.DATA[198].6,
COMMENT,,IV3:I,Tool 40,,IV3:I.DATA[198].7,
COMMENT,,IV3:I,Tool 41,,IV3:I.DATA[198].8,
COMMENT,,IV3:I,Tool 42,,IV3:I.DATA[198].9,
COMMENT,,IV3:I,Tool 43,,IV3:I.DATA[198].10,
COMMENT,,IV3:I,Tool 44,,IV3:I.DATA[198].11,
COMMENT,,IV3:I,Tool 45,,IV3:I.DATA[198].12,
COMMENT,,IV3:I,Tool 46,,IV3:I.DATA[198].13,
COMMENT,,IV3:I,Tool 47,,IV3:I.DATA[198].14,
COMMENT,,IV3:I,Tool 48,,IV3:I.DATA[198].15,
COMMENT,,IV3:I,Tool 49,,IV3:I.DATA[199].0,
COMMENT,,IV3:I,Tool 50,,IV3:I.DATA[199].1,
COMMENT,,IV3:I,Tool 51,,IV3:I.DATA[199].2,
COMMENT,,IV3:I,Tool 52,,IV3:I.DATA[199].3,
COMMENT,,IV3:I,Tool 53,,IV3:I.DATA[199].4,
COMMENT,,IV3:I,Tool 54,,IV3:I.DATA[199].5,
COMMENT,,IV3:I,Tool 55,,IV3:I.DATA[199].6,
COMMENT,,IV3:I,Tool 56,,IV3:I.DATA[199].7,
COMMENT,,IV3:I,Tool 57,,IV3:I.DATA[199].8,
COMMENT,,IV3:I,Tool 58,,IV3:I.DATA[199].9,
COMMENT,,IV3:I,Tool 59,,IV3:I.DATA[199].10,
COMMENT,,IV3:I,Tool 60,,IV3:I.DATA[199].11,
COMMENT,,IV3:I,Tool 61,,IV3:I.DATA[199].12,
COMMENT,,IV3:I,Tool 62,,IV3:I.DATA[199].13,
COMMENT,,IV3:I,Tool 63,,IV3:I.DATA[199].14,
COMMENT,,IV3:I,Tool 64,,IV3:I.DATA[199].15,
COMMENT,,IV3:I,Tool 17 matching rate,,IV3:I.DATA[200],
COMMENT,,IV3:I,Tool 17 matching rate MAX,,IV3:I.DATA[201],
COMMENT,,IV3:I,Tool 17 matching rate MIN,,IV3:I.DATA[202],
COMMENT,,IV3:I,Tool 17 lower threshold,,IV3:I.DATA[203],
COMMENT,,IV3:I,Tool 17 upper threshold,,IV3:I.DATA[204],
COMMENT,,IV3:I,Tool 17 decimal point position,,IV3:I.DATA[205],
COMMENT,,IV3:I,"Tool 17 pitch present value MAX, color average H (hue)",,IV3:I.DATA[206],
COMMENT,,IV3:I,"Tool 17 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[207],
COMMENT,,IV3:I,"Tool 17 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[208],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[209],
COMMENT,,IV3:I,Tool 18 matching rate,,IV3:I.DATA[210],
COMMENT,,IV3:I,Tool 18 matching rate MAX,,IV3:I.DATA[211],
COMMENT,,IV3:I,Tool 18 matching rate MIN,,IV3:I.DATA[212],
COMMENT,,IV3:I,Tool 18 lower threshold,,IV3:I.DATA[213],
COMMENT,,IV3:I,Tool 18 upper threshold,,IV3:I.DATA[214],
COMMENT,,IV3:I,Tool 18 decimal point position,,IV3:I.DATA[215],
COMMENT,,IV3:I,"Tool 18 pitch present value MAX, color average H (hue)",,IV3:I.DATA[216],
COMMENT,,IV3:I,"Tool 18 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[217],
COMMENT,,IV3:I,"Tool 18 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[218],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[219],
COMMENT,,IV3:I,Tool 19 matching rate,,IV3:I.DATA[220],
COMMENT,,IV3:I,Tool 19 matching rate MAX,,IV3:I.DATA[221],
COMMENT,,IV3:I,Tool 19 matching rate MIN,,IV3:I.DATA[222],
COMMENT,,IV3:I,Tool 19 lower threshold,,IV3:I.DATA[223],
COMMENT,,IV3:I,Tool 19 upper threshold,,IV3:I.DATA[224],
COMMENT,,IV3:I,Tool 19 decimal point position,,IV3:I.DATA[225],
COMMENT,,IV3:I,"Tool 19 pitch present value MAX, color average H (hue)",,IV3:I.DATA[226],
COMMENT,,IV3:I,"Tool 19 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[227],
COMMENT,,IV3:I,"Tool 19 number of pitches, color average V (brightness), brightness average",,IV3:I.DATA[228],
COMMENT,,IV3:I,Reserved,,IV3:I.DATA[229],
COMMENT,,IV3:I,Tool 20 matching rate,,IV3:I.DATA[230],
COMMENT,,IV3:I,Tool 20 matching rate MAX,,IV3:I.DATA[231],
COMMENT,,IV3:I,Tool 20 matching rate MIN,,IV3:I.DATA[232],
COMMENT,,IV3:I,Tool 20 lower threshold,,IV3:I.DATA[233],
COMMENT,,IV3:I,Tool 20 upper threshold,,IV3:I.DATA[234],
COMMENT,,IV3:I,Tool 20 decimal point position,,IV3:I.DATA[235],
COMMENT,,IV3:I,"Tool 20 pitch present value MAX, color average H (hue)",,IV3:I.DATA[236],
COMMENT,,IV3:I,"Tool 20 pitch present value MIN, color average S (saturation)",,IV3:I.DATA[237],
